PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=383 ttl=64 time=1061 ms
64 bytes from 10.0.0.2: icmp_seq=384 ttl=64 time=1051 ms
64 bytes from 10.0.0.2: icmp_seq=385 ttl=64 time=1061 ms
64 bytes from 10.0.0.2: icmp_seq=386 ttl=64 time=1069 ms
64 bytes from 10.0.0.2: icmp_seq=387 ttl=64 time=1071 ms
64 bytes from 10.0.0.2: icmp_seq=388 ttl=64 time=1067 ms
64 bytes from 10.0.0.2: icmp_seq=389 ttl=64 time=1058 ms
64 bytes from 10.0.0.2: icmp_seq=390 ttl=64 time=1068 ms
64 bytes from 10.0.0.2: icmp_seq=391 ttl=64 time=1068 ms
64 bytes from 10.0.0.2: icmp_seq=392 ttl=64 time=1085 ms
64 bytes from 10.0.0.2: icmp_seq=393 ttl=64 time=1068 ms
64 bytes from 10.0.0.2: icmp_seq=394 ttl=64 time=1080 ms
64 bytes from 10.0.0.2: icmp_seq=395 ttl=64 time=1086 ms
64 bytes from 10.0.0.2: icmp_seq=396 ttl=64 time=1076 ms
64 bytes from 10.0.0.2: icmp_seq=397 ttl=64 time=1077 ms
64 bytes from 10.0.0.2: icmp_seq=398 ttl=64 time=1071 ms
64 bytes from 10.0.0.2: icmp_seq=399 ttl=64 time=1084 ms
64 bytes from 10.0.0.2: icmp_seq=400 ttl=64 time=1076 ms
64 bytes from 10.0.0.2: icmp_seq=401 ttl=64 time=1087 ms
64 bytes from 10.0.0.2: icmp_seq=402 ttl=64 time=1090 ms
64 bytes from 10.0.0.2: icmp_seq=403 ttl=64 time=1084 ms
64 bytes from 10.0.0.2: icmp_seq=404 ttl=64 time=1109 ms
64 bytes from 10.0.0.2: icmp_seq=405 ttl=64 time=1108 ms
64 bytes from 10.0.0.2: icmp_seq=406 ttl=64 time=1093 ms
64 bytes from 10.0.0.2: icmp_seq=407 ttl=64 time=1107 ms
64 bytes from 10.0.0.2: icmp_seq=408 ttl=64 time=1100 ms
64 bytes from 10.0.0.2: icmp_seq=409 ttl=64 time=1101 ms
64 bytes from 10.0.0.2: icmp_seq=410 ttl=64 time=1082 ms
64 bytes from 10.0.0.2: icmp_seq=411 ttl=64 time=1107 ms
64 bytes from 10.0.0.2: icmp_seq=412 ttl=64 time=1088 ms
64 bytes from 10.0.0.2: icmp_seq=413 ttl=64 time=1005 ms
64 bytes from 10.0.0.2: icmp_seq=414 ttl=64 time=904 ms
64 bytes from 10.0.0.2: icmp_seq=415 ttl=64 time=917 ms
64 bytes from 10.0.0.2: icmp_seq=416 ttl=64 time=886 ms
64 bytes from 10.0.0.2: icmp_seq=417 ttl=64 time=919 ms
64 bytes from 10.0.0.2: icmp_seq=418 ttl=64 time=902 ms
64 bytes from 10.0.0.2: icmp_seq=419 ttl=64 time=911 ms
64 bytes from 10.0.0.2: icmp_seq=420 ttl=64 time=891 ms
64 bytes from 10.0.0.2: icmp_seq=421 ttl=64 time=901 ms
64 bytes from 10.0.0.2: icmp_seq=422 ttl=64 time=912 ms
64 bytes from 10.0.0.2: icmp_seq=423 ttl=64 time=914 ms
64 bytes from 10.0.0.2: icmp_seq=424 ttl=64 time=907 ms
64 bytes from 10.0.0.2: icmp_seq=425 ttl=64 time=917 ms
64 bytes from 10.0.0.2: icmp_seq=426 ttl=64 time=923 ms
64 bytes from 10.0.0.2: icmp_seq=427 ttl=64 time=916 ms
64 bytes from 10.0.0.2: icmp_seq=428 ttl=64 time=927 ms
64 bytes from 10.0.0.2: icmp_seq=429 ttl=64 time=923 ms
64 bytes from 10.0.0.2: icmp_seq=430 ttl=64 time=919 ms
64 bytes from 10.0.0.2: icmp_seq=431 ttl=64 time=941 ms
64 bytes from 10.0.0.2: icmp_seq=432 ttl=64 time=932 ms
64 bytes from 10.0.0.2: icmp_seq=433 ttl=64 time=923 ms
64 bytes from 10.0.0.2: icmp_seq=434 ttl=64 time=934 ms
64 bytes from 10.0.0.2: icmp_seq=435 ttl=64 time=918 ms
64 bytes from 10.0.0.2: icmp_seq=436 ttl=64 time=921 ms
64 bytes from 10.0.0.2: icmp_seq=437 ttl=64 time=932 ms
64 bytes from 10.0.0.2: icmp_seq=438 ttl=64 time=928 ms
64 bytes from 10.0.0.2: icmp_seq=439 ttl=64 time=922 ms
64 bytes from 10.0.0.2: icmp_seq=440 ttl=64 time=912 ms
64 bytes from 10.0.0.2: icmp_seq=441 ttl=64 time=922 ms
64 bytes from 10.0.0.2: icmp_seq=442 ttl=64 time=935 ms
64 bytes from 10.0.0.2: icmp_seq=443 ttl=64 time=930 ms
64 bytes from 10.0.0.2: icmp_seq=444 ttl=64 time=937 ms
64 bytes from 10.0.0.2: icmp_seq=445 ttl=64 time=928 ms
64 bytes from 10.0.0.2: icmp_seq=446 ttl=64 time=943 ms
64 bytes from 10.0.0.2: icmp_seq=447 ttl=64 time=918 ms
64 bytes from 10.0.0.2: icmp_seq=448 ttl=64 time=926 ms
64 bytes from 10.0.0.2: icmp_seq=449 ttl=64 time=950 ms
64 bytes from 10.0.0.2: icmp_seq=450 ttl=64 time=945 ms
64 bytes from 10.0.0.2: icmp_seq=451 ttl=64 time=930 ms
64 bytes from 10.0.0.2: icmp_seq=452 ttl=64 time=950 ms
64 bytes from 10.0.0.2: icmp_seq=453 ttl=64 time=935 ms
64 bytes from 10.0.0.2: icmp_seq=454 ttl=64 time=939 ms
64 bytes from 10.0.0.2: icmp_seq=455 ttl=64 time=939 ms
64 bytes from 10.0.0.2: icmp_seq=456 ttl=64 time=947 ms
64 bytes from 10.0.0.2: icmp_seq=457 ttl=64 time=942 ms
64 bytes from 10.0.0.2: icmp_seq=458 ttl=64 time=939 ms
64 bytes from 10.0.0.2: icmp_seq=459 ttl=64 time=952 ms
64 bytes from 10.0.0.2: icmp_seq=460 ttl=64 time=946 ms
64 bytes from 10.0.0.2: icmp_seq=461 ttl=64 time=939 ms
64 bytes from 10.0.0.2: icmp_seq=462 ttl=64 time=947 ms
64 bytes from 10.0.0.2: icmp_seq=463 ttl=64 time=944 ms
64 bytes from 10.0.0.2: icmp_seq=464 ttl=64 time=943 ms
64 bytes from 10.0.0.2: icmp_seq=465 ttl=64 time=946 ms
64 bytes from 10.0.0.2: icmp_seq=466 ttl=64 time=946 ms
64 bytes from 10.0.0.2: icmp_seq=467 ttl=64 time=952 ms
64 bytes from 10.0.0.2: icmp_seq=468 ttl=64 time=943 ms
64 bytes from 10.0.0.2: icmp_seq=469 ttl=64 time=951 ms
64 bytes from 10.0.0.2: icmp_seq=470 ttl=64 time=952 ms
64 bytes from 10.0.0.2: icmp_seq=471 ttl=64 time=948 ms
64 bytes from 10.0.0.2: icmp_seq=472 ttl=64 time=1027 ms
64 bytes from 10.0.0.2: icmp_seq=473 ttl=64 time=1017 ms
64 bytes from 10.0.0.2: icmp_seq=474 ttl=64 time=1033 ms
64 bytes from 10.0.0.2: icmp_seq=475 ttl=64 time=1049 ms
64 bytes from 10.0.0.2: icmp_seq=476 ttl=64 time=1032 ms
64 bytes from 10.0.0.2: icmp_seq=477 ttl=64 time=1041 ms
64 bytes from 10.0.0.2: icmp_seq=478 ttl=64 time=1017 ms
64 bytes from 10.0.0.2: icmp_seq=479 ttl=64 time=1044 ms
64 bytes from 10.0.0.2: icmp_seq=480 ttl=64 time=1038 ms
64 bytes from 10.0.0.2: icmp_seq=481 ttl=64 time=1074 ms
64 bytes from 10.0.0.2: icmp_seq=482 ttl=64 time=1125 ms
64 bytes from 10.0.0.2: icmp_seq=483 ttl=64 time=1146 ms
64 bytes from 10.0.0.2: icmp_seq=484 ttl=64 time=1117 ms
64 bytes from 10.0.0.2: icmp_seq=485 ttl=64 time=1118 ms
64 bytes from 10.0.0.2: icmp_seq=486 ttl=64 time=1132 ms
64 bytes from 10.0.0.2: icmp_seq=487 ttl=64 time=1140 ms
64 bytes from 10.0.0.2: icmp_seq=488 ttl=64 time=1138 ms
64 bytes from 10.0.0.2: icmp_seq=489 ttl=64 time=1121 ms
64 bytes from 10.0.0.2: icmp_seq=490 ttl=64 time=1131 ms
64 bytes from 10.0.0.2: icmp_seq=491 ttl=64 time=1143 ms
64 bytes from 10.0.0.2: icmp_seq=492 ttl=64 time=1130 ms
64 bytes from 10.0.0.2: icmp_seq=493 ttl=64 time=1155 ms
64 bytes from 10.0.0.2: icmp_seq=494 ttl=64 time=1161 ms
64 bytes from 10.0.0.2: icmp_seq=495 ttl=64 time=1152 ms
64 bytes from 10.0.0.2: icmp_seq=496 ttl=64 time=1157 ms
64 bytes from 10.0.0.2: icmp_seq=497 ttl=64 time=1139 ms
64 bytes from 10.0.0.2: icmp_seq=498 ttl=64 time=1154 ms
64 bytes from 10.0.0.2: icmp_seq=499 ttl=64 time=1157 ms
64 bytes from 10.0.0.2: icmp_seq=500 ttl=64 time=1157 ms
64 bytes from 10.0.0.2: icmp_seq=501 ttl=64 time=1150 ms
64 bytes from 10.0.0.2: icmp_seq=502 ttl=64 time=1156 ms
64 bytes from 10.0.0.2: icmp_seq=503 ttl=64 time=1152 ms
64 bytes from 10.0.0.2: icmp_seq=504 ttl=64 time=1166 ms
64 bytes from 10.0.0.2: icmp_seq=505 ttl=64 time=1160 ms
64 bytes from 10.0.0.2: icmp_seq=506 ttl=64 time=1155 ms
64 bytes from 10.0.0.2: icmp_seq=507 ttl=64 time=1161 ms
64 bytes from 10.0.0.2: icmp_seq=508 ttl=64 time=1166 ms
64 bytes from 10.0.0.2: icmp_seq=509 ttl=64 time=1176 ms
64 bytes from 10.0.0.2: icmp_seq=510 ttl=64 time=1168 ms
64 bytes from 10.0.0.2: icmp_seq=511 ttl=64 time=1172 ms
64 bytes from 10.0.0.2: icmp_seq=512 ttl=64 time=1168 ms
64 bytes from 10.0.0.2: icmp_seq=513 ttl=64 time=1188 ms
64 bytes from 10.0.0.2: icmp_seq=514 ttl=64 time=1186 ms
64 bytes from 10.0.0.2: icmp_seq=515 ttl=64 time=1191 ms
64 bytes from 10.0.0.2: icmp_seq=516 ttl=64 time=1188 ms
64 bytes from 10.0.0.2: icmp_seq=517 ttl=64 time=1185 ms
64 bytes from 10.0.0.2: icmp_seq=518 ttl=64 time=1173 ms
64 bytes from 10.0.0.2: icmp_seq=519 ttl=64 time=1184 ms
64 bytes from 10.0.0.2: icmp_seq=520 ttl=64 time=1198 ms
64 bytes from 10.0.0.2: icmp_seq=521 ttl=64 time=1186 ms
64 bytes from 10.0.0.2: icmp_seq=522 ttl=64 time=1181 ms
64 bytes from 10.0.0.2: icmp_seq=523 ttl=64 time=1193 ms
64 bytes from 10.0.0.2: icmp_seq=524 ttl=64 time=1189 ms
64 bytes from 10.0.0.2: icmp_seq=525 ttl=64 time=1193 ms
64 bytes from 10.0.0.2: icmp_seq=526 ttl=64 time=1204 ms
64 bytes from 10.0.0.2: icmp_seq=527 ttl=64 time=1193 ms
64 bytes from 10.0.0.2: icmp_seq=528 ttl=64 time=1206 ms
64 bytes from 10.0.0.2: icmp_seq=529 ttl=64 time=1202 ms
64 bytes from 10.0.0.2: icmp_seq=530 ttl=64 time=1208 ms
64 bytes from 10.0.0.2: icmp_seq=531 ttl=64 time=1204 ms
64 bytes from 10.0.0.2: icmp_seq=532 ttl=64 time=1200 ms
64 bytes from 10.0.0.2: icmp_seq=533 ttl=64 time=1203 ms
64 bytes from 10.0.0.2: icmp_seq=534 ttl=64 time=1200 ms
64 bytes from 10.0.0.2: icmp_seq=535 ttl=64 time=1213 ms
64 bytes from 10.0.0.2: icmp_seq=536 ttl=64 time=1177 ms
64 bytes from 10.0.0.2: icmp_seq=537 ttl=64 time=1077 ms
64 bytes from 10.0.0.2: icmp_seq=538 ttl=64 time=1006 ms
64 bytes from 10.0.0.2: icmp_seq=539 ttl=64 time=1011 ms
64 bytes from 10.0.0.2: icmp_seq=540 ttl=64 time=1017 ms
64 bytes from 10.0.0.2: icmp_seq=541 ttl=64 time=1010 ms
64 bytes from 10.0.0.2: icmp_seq=542 ttl=64 time=1006 ms
64 bytes from 10.0.0.2: icmp_seq=543 ttl=64 time=1001 ms
64 bytes from 10.0.0.2: icmp_seq=544 ttl=64 time=1013 ms
64 bytes from 10.0.0.2: icmp_seq=545 ttl=64 time=1012 ms
64 bytes from 10.0.0.2: icmp_seq=546 ttl=64 time=1010 ms
64 bytes from 10.0.0.2: icmp_seq=547 ttl=64 time=1006 ms
64 bytes from 10.0.0.2: icmp_seq=548 ttl=64 time=1075 ms
64 bytes from 10.0.0.2: icmp_seq=549 ttl=64 time=1084 ms
64 bytes from 10.0.0.2: icmp_seq=550 ttl=64 time=1083 ms
64 bytes from 10.0.0.2: icmp_seq=551 ttl=64 time=1079 ms
64 bytes from 10.0.0.2: icmp_seq=552 ttl=64 time=1074 ms
64 bytes from 10.0.0.2: icmp_seq=553 ttl=64 time=1090 ms
64 bytes from 10.0.0.2: icmp_seq=554 ttl=64 time=1094 ms
64 bytes from 10.0.0.2: icmp_seq=555 ttl=64 time=1086 ms
64 bytes from 10.0.0.2: icmp_seq=556 ttl=64 time=1102 ms
64 bytes from 10.0.0.2: icmp_seq=557 ttl=64 time=1088 ms
64 bytes from 10.0.0.2: icmp_seq=558 ttl=64 time=1164 ms
64 bytes from 10.0.0.2: icmp_seq=559 ttl=64 time=1195 ms
64 bytes from 10.0.0.2: icmp_seq=560 ttl=64 time=1187 ms
64 bytes from 10.0.0.2: icmp_seq=561 ttl=64 time=1196 ms
64 bytes from 10.0.0.2: icmp_seq=562 ttl=64 time=1186 ms
64 bytes from 10.0.0.2: icmp_seq=563 ttl=64 time=1183 ms
64 bytes from 10.0.0.2: icmp_seq=564 ttl=64 time=1184 ms
64 bytes from 10.0.0.2: icmp_seq=565 ttl=64 time=1182 ms
64 bytes from 10.0.0.2: icmp_seq=566 ttl=64 time=1188 ms
64 bytes from 10.0.0.2: icmp_seq=567 ttl=64 time=1185 ms
64 bytes from 10.0.0.2: icmp_seq=568 ttl=64 time=1181 ms
64 bytes from 10.0.0.2: icmp_seq=569 ttl=64 time=1206 ms
64 bytes from 10.0.0.2: icmp_seq=570 ttl=64 time=1204 ms
64 bytes from 10.0.0.2: icmp_seq=571 ttl=64 time=1208 ms
64 bytes from 10.0.0.2: icmp_seq=572 ttl=64 time=1201 ms
64 bytes from 10.0.0.2: icmp_seq=573 ttl=64 time=1216 ms
64 bytes from 10.0.0.2: icmp_seq=574 ttl=64 time=1211 ms
64 bytes from 10.0.0.2: icmp_seq=575 ttl=64 time=1230 ms
64 bytes from 10.0.0.2: icmp_seq=576 ttl=64 time=1222 ms
64 bytes from 10.0.0.2: icmp_seq=577 ttl=64 time=1212 ms
64 bytes from 10.0.0.2: icmp_seq=578 ttl=64 time=1204 ms
64 bytes from 10.0.0.2: icmp_seq=579 ttl=64 time=1202 ms
64 bytes from 10.0.0.2: icmp_seq=580 ttl=64 time=1215 ms
64 bytes from 10.0.0.2: icmp_seq=581 ttl=64 time=1213 ms
64 bytes from 10.0.0.2: icmp_seq=582 ttl=64 time=1220 ms
64 bytes from 10.0.0.2: icmp_seq=583 ttl=64 time=1213 ms
64 bytes from 10.0.0.2: icmp_seq=584 ttl=64 time=1229 ms
64 bytes from 10.0.0.2: icmp_seq=585 ttl=64 time=1228 ms
64 bytes from 10.0.0.2: icmp_seq=586 ttl=64 time=1232 ms
64 bytes from 10.0.0.2: icmp_seq=587 ttl=64 time=1215 ms
64 bytes from 10.0.0.2: icmp_seq=588 ttl=64 time=1222 ms
64 bytes from 10.0.0.2: icmp_seq=589 ttl=64 time=1235 ms
64 bytes from 10.0.0.2: icmp_seq=590 ttl=64 time=1223 ms
64 bytes from 10.0.0.2: icmp_seq=591 ttl=64 time=1218 ms
64 bytes from 10.0.0.2: icmp_seq=592 ttl=64 time=1222 ms
64 bytes from 10.0.0.2: icmp_seq=593 ttl=64 time=1239 ms
64 bytes from 10.0.0.2: icmp_seq=594 ttl=64 time=1238 ms
64 bytes from 10.0.0.2: icmp_seq=595 ttl=64 time=1228 ms
64 bytes from 10.0.0.2: icmp_seq=596 ttl=64 time=1243 ms
64 bytes from 10.0.0.2: icmp_seq=597 ttl=64 time=1258 ms
64 bytes from 10.0.0.2: icmp_seq=598 ttl=64 time=1277 ms
64 bytes from 10.0.0.2: icmp_seq=599 ttl=64 time=1310 ms
64 bytes from 10.0.0.2: icmp_seq=600 ttl=64 time=1324 ms

--- 10.0.0.2 ping statistics ---
600 packets transmitted, 587 received, 2.16667% packet loss, time 62189ms
rtt min/avg/max/mdev = 20.874/970.771/1527.057/186.589 ms, pipe 15
