PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=1024 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=1086 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=1031 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=1029 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=1056 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=1005 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=957 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=902 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=857 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=812 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=760 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=721 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=764 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=855 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=876 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=872 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=906 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=911 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=914 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=933 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=929 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=940 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=938 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=942 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=946 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=940 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=946 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=946 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=940 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=839 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=736 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=672 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=668 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=666 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=670 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=676 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=630 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=602 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=616 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=610 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=614 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=610 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=623 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=623 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=620 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=623 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=621 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=618 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=630 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=630 ms
